"","X","Year","Quarter","GDP","Electricity_price","Economic_insecurity","Exchange_rate","Interest_rate","FSI","Unempl_rate","Public_debt","Corporate_profit","Gov_tax_import","COVID","Democrats","inflation"
"1",1,1995,"1995Q2",7581,8.72,58.32,0.87,6.62,-0.25,5.67,65.31,501.31,19.98,0,1,0.883782589482967
"2",2,1995,"1995Q3",7683.1,7.84,33.06,0.87,6.32,-0.28,5.67,64.74,509.31,19.63,0,1,0.438020148926858
"3",3,1995,"1995Q4",7772.6,7.36,257.26,0.87,5.89,-0.26,5.57,64.18,516.95,19.68,0,1,0.479720889664192
"4",4,1996,"1996Q1",7868.5,6.65,116.77,0.84,5.91,-0.28,5.53,65.04,537.2,20.15,0,1,0.911458333333337
"5",5,1996,"1996Q2",8032.8,8.65,168.99,0.8,6.72,-0.17,5.5,64.25,540.29,19.36,0,1,0.989247311827955
"6",6,1996,"1996Q3",8131.4,4.78,149.9,0.8,6.78,-0.16,5.27,64.25,537.28,19.7,0,1,0.532367972742765
"7",7,1996,"1996Q4",8259.8,6.58,74.98,0.74,6.34,-0.17,5.33,64.45,550.94,17.67,0,1,0.720186401186187
"8",8,1997,"1997Q1",8362.7,6.66,66.14,0.69,6.56,-0.31,5.23,64.34,564.38,18.98,0,1,0.672975814931643
"9",9,1997,"1997Q2",8518.8,4.61,138.46,0.69,6.7,-0.21,5,63.11,584.52,20.42,0,1,0.396908293294327
"10",10,1997,"1997Q3",8662.8,7.86,49.68,0.69,6.24,-0.26,4.87,62.49,608.22,19.81,0,1,0.395339159384124
"11",11,1997,"1997Q4",8765.9,4.36,41.02,0.69,5.91,-0.05,4.67,62.77,611.94,19.26,0,1,0.393782383419677
"12",12,1998,"1998Q1",8866.5,6.53,33.1,0.66,5.59,-0.28,4.63,62.51,539.19,19.4,0,1,0.268373245251862
"13",13,1998,"1998Q2",8969.7,6.83,42.46,0.66,5.6,-0.21,4.4,61.85,538.41,19.56,0,1,0.535309862054774
"14",14,1998,"1998Q3",9121.1,7.55,165.53,0.72,5.2,0.25,4.53,60.59,535.27,19.84,0,1,0.389105058365747
"15",15,1998,"1998Q4",9294,6.46,47.53,0.73,4.67,0.65,4.43,60.41,519.08,19.55,0,1,0.34679722562221
"16",16,1999,"1999Q1",9411.7,6.32,48.21,0.67,4.98,0.19,4.3,60.05,552.46,18.22,0,1,0.386257369384025
"17",17,1999,"1999Q2",9526.2,6.83,66.53,0.64,5.54,0.07,4.27,59.19,568.58,17.86,0,1,0.97205346294045
"18",18,1999,"1999Q3",9686.6,6.39,28.29,0.67,5.88,0.22,4.23,58.39,569.28,19.71,0,1,0.621740874448445
"19",19,1999,"1999Q4",9900.2,6.41,29.57,0.63,6.14,0.21,4.07,58.34,590.99,20.95,0,1,0.617899142914097
"20",20,2000,"2000Q1",10002.2,7.03,69.33,0.6,6.48,0.03,4.03,57.72,565.04,19.95,0,1,0.990491283676713
"21",21,2000,"2000Q2",10247.7,4.75,47.4,0.61,6.18,0.4,3.93,55.48,559.32,21.96,0,1,1.05923891722244
"22",22,2000,"2000Q3",10318.2,7.73,140.95,0.58,5.89,0.08,4,54.99,554.17,21.58,0,1,0.79580745341615
"23",23,2000,"2000Q4",10435.7,4.88,266.22,0.61,5.57,0.47,3.9,54.26,533.36,21,0,1,0.539187367610242
"24",24,2001,"2001Q1",10470.2,7.01,40.83,0.58,5.05,0.52,4.23,55.14,562.88,21.86,0,0,0.95767094426356
"25",25,2001,"2001Q2",10599,7.51,62,0.56,5.27,0.5,4.4,54.03,581.78,20.58,0,0,1.04344526655283
